cluster_0_gene_name	cluster_0_score	cluster_0_pval	cluster_0_pval_adj	cluster_0_log2foldchange	cluster_1_gene_name	cluster_1_score	cluster_1_pval	cluster_1_pval_adj	cluster_1_log2foldchange	cluster_2_gene_name	cluster_2_score	cluster_2_pval	cluster_2_pval_adj	cluster_2_log2foldchange	cluster_3_gene_name	cluster_3_score	cluster_3_pval	cluster_3_pval_adj	cluster_3_log2foldchange	cluster_4_gene_name	cluster_4_score	cluster_4_pval	cluster_4_pval_adj	cluster_4_log2foldchange	cluster_5_gene_name	cluster_5_score	cluster_5_pval	cluster_5_pval_adj	cluster_5_log2foldchange	cluster_6_gene_name	cluster_6_score	cluster_6_pval	cluster_6_pval_adj	cluster_6_log2foldchange	cluster_7_gene_name	cluster_7_score	cluster_7_pval	cluster_7_pval_adj	cluster_7_log2foldchange	cluster_8_gene_name	cluster_8_score	cluster_8_pval	cluster_8_pval_adj	cluster_8_log2foldchange	cluster_9_gene_name	cluster_9_score	cluster_9_pval	cluster_9_pval_adj	cluster_9_log2foldchange
nip7	17.744318	1.9069922812225447e-70	7.836175167397427e-69	0.47171736	acin1a	11.088594	1.4251002565505465e-28	6.896054639130502e-27	0.3154833											bcl2l10	5.9747033	2.305094158184128e-09	7.533179943812692e-08	0.62760925						snd1	4.0026126	6.264684360941627e-05	0.001404566889010401	0.49473426	si:ch211-199g17.2	17.638035	1.257606301940625e-69	4.366088582332923e-68	3.5721517										
farsa	17.740532	2.0399586242699115e-70	8.368838441235613e-69	0.46032104	mych	11.08294	1.5180473103980388e-28	7.331671268292339e-27	0.30729386											ube2al	5.97322	2.3261581215609623e-09	7.592119723313422e-08	0.45025474						ccnjl	3.9861817	6.714508596905864e-05	0.0015000523394834437	0.29399562	arhgef16	17.556927	5.264881420016926e-69	1.810281449576739e-67	5.109343										
LOC100329344	17.737444	2.1551512103029317e-70	8.826964091087138e-69	0.47442684	arl4aa	11.054388	2.087548585002006e-28	1.0062787083011591e-26	0.5242532											derl1	5.9693265	2.382347029081388e-09	7.765398001424457e-08	0.5336044						cdk2	3.981712	6.842064297430218e-05	0.001527187744250987	0.55933625	neurl1ab_1	17.544376	6.567044761776934e-69	2.254925260256173e-67	6.84923										
rnaseh1	17.727814	2.5579013657429127e-70	1.0459438113166696e-68	0.52895325	cdca8	11.047373	2.2572386901270333e-28	1.0859874281520962e-26	0.25768667											wu:fa11c10	5.9686346	2.3924692062122003e-09	7.788264041937014e-08	0.73377824						cep290	3.9812531	6.855291958227402e-05	0.0015287788987982923	0.63472855	zdhhc3a	17.523205	9.530329458777342e-69	3.263486860843072e-67	3.2260587										
wtap	17.725182	2.6804883939073582e-70	1.094285375923157e-68	0.43090758	zgc:66433	11.045809	2.2968934064748425e-28	1.1029488530018849e-26	0.44613335											edem1	5.957511	2.5610864935175423e-09	8.304811648966457e-08	0.5864436						chd2	3.9804444	6.878656728582364e-05	0.0015326258627435159	0.24723874	net1	17.509254	1.2177984548310749e-68	4.164438754269539e-67	1.8178856										
rfc5	17.709305	3.55437704787426e-70	1.4486831720653041e-68	0.47913712	lrp1ab	11.023636	2.9394206230378286e-28	1.4087861823530825e-26	0.32453024											spry1	5.939812	2.853489441917997e-09	9.217212158649035e-08	0.9313553						mns1_1	3.9779036	6.952557531013743e-05	0.0015466623334791526	0.90913755	tmem184a	17.505972	1.2900547426901137e-68	4.4055193706090453e-67	8.133742										
exosc3	17.691185	4.903398429750717e-70	1.995269237664472e-68	0.4866313	suz12a	11.011517	3.362935788350497e-28	1.6086898563128544e-26	0.33834553											slc39a10	5.9386997	2.8729153695686984e-09	9.268017587337065e-08	0.72046936						zgc:158564	3.9778543	6.953995251859111e-05	0.0015466623334791526	0.37502548	si:dkey-166k12.1	17.497774	1.4897615590764326e-68	5.080593638069369e-67	6.867025										
slbp	17.683279	5.6417838042114135e-70	2.2920089600707177e-68	0.44619521	zgc:77838	10.998069	3.9040475335166843e-28	1.8639781995262708e-26	0.30382267											dnajb12a	5.92683	3.088390219588418e-09	9.937559594891308e-08	0.7933629						prr12a	3.9663303	7.298768533903433e-05	0.0016176032897508704	0.2822631	tm9sf4	17.480398	2.020852553186134e-68	6.863779146092633e-67	1.8689787										
rpa1	17.653387	9.583404937282834e-70	3.887016636859733e-68	0.47242397	fzd8b	10.995637	4.0107113250054723e-28	1.911264069821049e-26	-0.09386846											sptlc2b	5.925342	3.1164818041809895e-09	1.0015093962000088e-07	0.5609854						sox11b	3.9637513	7.378113393442196e-05	0.0016308623485010766	0.19421226	zfp36l1a	17.471647	2.355965206836311e-68	7.991153433634502e-67	2.2831817										
ddx10	17.649734	1.0223610381069839e-69	4.139984132663919e-68	0.4523826	mbtps1_1	10.964796	5.642786579908406e-28	2.6839105960528294e-26	0.62816095											eif4ebp3l	5.9150276	3.3182021564338214e-09	1.0649686972236897e-07	0.22959478						slc25a36b	3.9569156	7.592375840358158e-05	0.0016723241899333707	1.293225	rbm47	17.445248	3.740914836970372e-68	1.26715907166891e-66	5.4319034										
